Procedure Code Category,ICD-10 CODES,Procedure Code Descriptions
AMP,0X6J0Z0,"Detachment at Right Hand, Complete, Open Approach"
AMP,0X6J0Z4,"Detachment at Right Hand, Complete 1st Ray, Open Approach"
AMP,0X6J0Z5,"Detachment at Right Hand, Complete 2nd Ray, Open Approach"
AMP,0X6J0Z6,"Detachment at Right Hand, Complete 3rd Ray, Open Approach"
AMP,0X6J0Z7,"Detachment at Right Hand, Complete 4th Ray, Open Approach"
AMP,0X6J0Z8,"Detachment at Right Hand, Complete 5th Ray, Open Approach"
AMP,0X6J0Z9,"Detachment at Right Hand, Partial 1st Ray, Open Approach"
AMP,0X6J0ZB,"Detachment at Right Hand, Partial 2nd Ray, Open Approach"
AMP,0X6J0ZC,"Detachment at Right Hand, Partial 3rd Ray, Open Approach"
AMP,0X6J0ZD,"Detachment at Right Hand, Partial 4th Ray, Open Approach"
AMP,0X6J0ZF,"Detachment at Right Hand, Partial 5th Ray, Open Approach"
AMP,0X6K0Z0,"Detachment at Left Hand, Complete, Open Approach"
AMP,0X6K0Z4,"Detachment at Left Hand, Complete 1st Ray, Open Approach"
AMP,0X6K0Z5,"Detachment at Left Hand, Complete 2nd Ray, Open Approach"
AMP,0X6K0Z6,"Detachment at Left Hand, Complete 3rd Ray, Open Approach"
AMP,0X6K0Z7,"Detachment at Left Hand, Complete 4th Ray, Open Approach"
AMP,0X6K0Z8,"Detachment at Left Hand, Complete 5th Ray, Open Approach"
AMP,0X6K0Z9,"Detachment at Left Hand, Partial 1st Ray, Open Approach"
AMP,0X6K0ZB,"Detachment at Left Hand, Partial 2nd Ray, Open Approach"
AMP,0X6K0ZC,"Detachment at Left Hand, Partial 3rd Ray, Open Approach"
AMP,0X6K0ZD,"Detachment at Left Hand, Partial 4th Ray, Open Approach"
AMP,0X6K0ZF,"Detachment at Left Hand, Partial 5th Ray, Open Approach"
AMP,0X6L0Z0,"Detachment at Right Thumb, Complete, Open Approach"
AMP,0X6L0Z1,"Detachment at Right Thumb, High, Open Approach"
AMP,0X6L0Z2,"Detachment at Right Thumb, Mid, Open Approach"
AMP,0X6L0Z3,"Detachment at Right Thumb, Low, Open Approach"
AMP,0X6M0Z0,"Detachment at Left Thumb, Complete, Open Approach"
AMP,0X6M0Z1,"Detachment at Left Thumb, High, Open Approach"
AMP,0X6M0Z2,"Detachment at Left Thumb, Mid, Open Approach"
AMP,0X6M0Z3,"Detachment at Left Thumb, Low, Open Approach"
AMP,0X6N0Z0,"Detachment at Right Index Finger, Complete, Open Approach"
AMP,0X6N0Z1,"Detachment at Right Index Finger, High, Open Approach"
AMP,0X6N0Z2,"Detachment at Right Index Finger, Mid, Open Approach"
AMP,0X6N0Z3,"Detachment at Right Index Finger, Low, Open Approach"
AMP,0X6P0Z0,"Detachment at Left Index Finger, Complete, Open Approach"
AMP,0X6P0Z1,"Detachment at Left Index Finger, High, Open Approach"
AMP,0X6P0Z2,"Detachment at Left Index Finger, Mid, Open Approach"
AMP,0X6P0Z3,"Detachment at Left Index Finger, Low, Open Approach"
AMP,0X6Q0Z0,"Detachment at Right Middle Finger, Complete, Open Approach"
AMP,0X6Q0Z1,"Detachment at Right Middle Finger, High, Open Approach"
AMP,0X6Q0Z2,"Detachment at Right Middle Finger, Mid, Open Approach"
AMP,0X6Q0Z3,"Detachment at Right Middle Finger, Low, Open Approach"
AMP,0X6R0Z0,"Detachment at Left Middle Finger, Complete, Open Approach"
AMP,0X6R0Z1,"Detachment at Left Middle Finger, High, Open Approach"
AMP,0X6R0Z2,"Detachment at Left Middle Finger, Mid, Open Approach"
AMP,0X6R0Z3,"Detachment at Left Middle Finger, Low, Open Approach"
AMP,0X6S0Z0,"Detachment at Right Ring Finger, Complete, Open Approach"
AMP,0X6S0Z1,"Detachment at Right Ring Finger, High, Open Approach"
AMP,0X6S0Z2,"Detachment at Right Ring Finger, Mid, Open Approach"
AMP,0X6S0Z3,"Detachment at Right Ring Finger, Low, Open Approach"
AMP,0X6T0Z0,"Detachment at Left Ring Finger, Complete, Open Approach"
AMP,0X6T0Z1,"Detachment at Left Ring Finger, High, Open Approach"
AMP,0X6T0Z2,"Detachment at Left Ring Finger, Mid, Open Approach"
AMP,0X6T0Z3,"Detachment at Left Ring Finger, Low, Open Approach"
AMP,0X6V0Z0,"Detachment at Right Little Finger, Complete, Open Approach"
AMP,0X6V0Z1,"Detachment at Right Little Finger, High, Open Approach"
AMP,0X6V0Z2,"Detachment at Right Little Finger, Mid, Open Approach"
AMP,0X6V0Z3,"Detachment at Right Little Finger, Low, Open Approach"
AMP,0X6W0Z0,"Detachment at Left Little Finger, Complete, Open Approach"
AMP,0X6W0Z1,"Detachment at Left Little Finger, High, Open Approach"
AMP,0X6W0Z2,"Detachment at Left Little Finger, Mid, Open Approach"
AMP,0X6W0Z3,"Detachment at Left Little Finger, Low, Open Approach"
AMP,0Y620ZZ,"Detachment at Right Hindquarter, Open Approach"
AMP,0Y630ZZ,"Detachment at Left Hindquarter, Open Approach"
AMP,0Y640ZZ,"Detachment at Bilateral Hindquarter, Open Approach"
AMP,0Y670ZZ,"Detachment at Right Femoral Region, Open Approach"
AMP,0Y680ZZ,"Detachment at Left Femoral Region, Open Approach"
AMP,0Y6C0Z1,"Detachment at Right Upper Leg, High, Open Approach"
AMP,0Y6C0Z2,"Detachment at Right Upper Leg, Mid, Open Approach"
AMP,0Y6C0Z3,"Detachment at Right Upper Leg, Low, Open Approach"
AMP,0Y6D0Z1,"Detachment at Left Upper Leg, High, Open Approach"
AMP,0Y6D0Z2,"Detachment at Left Upper Leg, Mid, Open Approach"
AMP,0Y6D0Z3,"Detachment at Left Upper Leg, Low, Open Approach"
AMP,0Y6F0ZZ,"Detachment at Right Knee Region, Open Approach"
AMP,0Y6G0ZZ,"Detachment at Left Knee Region, Open Approach"
AMP,0Y6H0Z1,"Detachment at Right Lower Leg, High, Open Approach"
AMP,0Y6H0Z2,"Detachment at Right Lower Leg, Mid, Open Approach"
AMP,0Y6H0Z3,"Detachment at Right Lower Leg, Low, Open Approach"
AMP,0Y6J0Z1,"Detachment at Left Lower Leg, High, Open Approach"
AMP,0Y6J0Z2,"Detachment at Left Lower Leg, Mid, Open Approach"
AMP,0Y6J0Z3,"Detachment at Left Lower Leg, Low, Open Approach"
AMP,0Y6M0Z0,"Detachment at Right Foot, Complete, Open Approach"
AMP,0Y6M0Z4,"Detachment at Right Foot, Complete 1st Ray, Open Approach"
AMP,0Y6M0Z5,"Detachment at Right Foot, Complete 2nd Ray, Open Approach"
AMP,0Y6M0Z6,"Detachment at Right Foot, Complete 3rd Ray, Open Approach"
AMP,0Y6M0Z7,"Detachment at Right Foot, Complete 4th Ray, Open Approach"
AMP,0Y6M0Z8,"Detachment at Right Foot, Complete 5th Ray, Open Approach"
AMP,0Y6M0Z9,"Detachment at Right Foot, Partial 1st Ray, Open Approach"
AMP,0Y6M0ZB,"Detachment at Right Foot, Partial 2nd Ray, Open Approach"
AMP,0Y6M0ZC,"Detachment at Right Foot, Partial 3rd Ray, Open Approach"
AMP,0Y6M0ZD,"Detachment at Right Foot, Partial 4th Ray, Open Approach"
AMP,0Y6M0ZF,"Detachment at Right Foot, Partial 5th Ray, Open Approach"
AMP,0Y6N0Z0,"Detachment at Left Foot, Complete, Open Approach"
AMP,0Y6N0Z4,"Detachment at Left Foot, Complete 1st Ray, Open Approach"
AMP,0Y6N0Z5,"Detachment at Left Foot, Complete 2nd Ray, Open Approach"
AMP,0Y6N0Z6,"Detachment at Left Foot, Complete 3rd Ray, Open Approach"
AMP,0Y6N0Z7,"Detachment at Left Foot, Complete 4th Ray, Open Approach"
AMP,0Y6N0Z8,"Detachment at Left Foot, Complete 5th Ray, Open Approach"
AMP,0Y6N0Z9,"Detachment at Left Foot, Partial 1st Ray, Open Approach"
AMP,0Y6N0ZB,"Detachment at Left Foot, Partial 2nd Ray, Open Approach"
AMP,0Y6N0ZC,"Detachment at Left Foot, Partial 3rd Ray, Open Approach"
AMP,0Y6N0ZD,"Detachment at Left Foot, Partial 4th Ray, Open Approach"
AMP,0Y6N0ZF,"Detachment at Left Foot, Partial 5th Ray, Open Approach"
AMP,0Y6P0Z0,"Detachment at Right 1st Toe, Complete, Open Approach"
AMP,0Y6P0Z1,"Detachment at Right 1st Toe, High, Open Approach"
AMP,0Y6P0Z2,"Detachment at Right 1st Toe, Mid, Open Approach"
AMP,0Y6P0Z3,"Detachment at Right 1st Toe, Low, Open Approach"
AMP,0Y6Q0Z0,"Detachment at Left 1st Toe, Complete, Open Approach"
AMP,0Y6Q0Z1,"Detachment at Left 1st Toe, High, Open Approach"
AMP,0Y6Q0Z2,"Detachment at Left 1st Toe, Mid, Open Approach"
AMP,0Y6Q0Z3,"Detachment at Left 1st Toe, Low, Open Approach"
AMP,0Y6R0Z0,"Detachment at Right 2nd Toe, Complete, Open Approach"
AMP,0Y6R0Z1,"Detachment at Right 2nd Toe, High, Open Approach"
AMP,0Y6R0Z2,"Detachment at Right 2nd Toe, Mid, Open Approach"
AMP,0Y6R0Z3,"Detachment at Right 2nd Toe, Low, Open Approach"
AMP,0Y6S0Z0,"Detachment at Left 2nd Toe, Complete, Open Approach"
AMP,0Y6S0Z1,"Detachment at Left 2nd Toe, High, Open Approach"
AMP,0Y6S0Z2,"Detachment at Left 2nd Toe, Mid, Open Approach"
AMP,0Y6S0Z3,"Detachment at Left 2nd Toe, Low, Open Approach"
AMP,0Y6T0Z0,"Detachment at Right 3rd Toe, Complete, Open Approach"
AMP,0Y6T0Z1,"Detachment at Right 3rd Toe, High, Open Approach"
AMP,0Y6T0Z2,"Detachment at Right 3rd Toe, Mid, Open Approach"
AMP,0Y6T0Z3,"Detachment at Right 3rd Toe, Low, Open Approach"
AMP,0Y6U0Z0,"Detachment at Left 3rd Toe, Complete, Open Approach"
AMP,0Y6U0Z1,"Detachment at Left 3rd Toe, High, Open Approach"
AMP,0Y6U0Z2,"Detachment at Left 3rd Toe, Mid, Open Approach"
AMP,0Y6U0Z3,"Detachment at Left 3rd Toe, Low, Open Approach"
AMP,0Y6V0Z0,"Detachment at Right 4th Toe, Complete, Open Approach"
AMP,0Y6V0Z1,"Detachment at Right 4th Toe, High, Open Approach"
AMP,0Y6V0Z2,"Detachment at Right 4th Toe, Mid, Open Approach"
AMP,0Y6V0Z3,"Detachment at Right 4th Toe, Low, Open Approach"
AMP,0Y6W0Z0,"Detachment at Left 4th Toe, Complete, Open Approach"
AMP,0Y6W0Z1,"Detachment at Left 4th Toe, High, Open Approach"
AMP,0Y6W0Z2,"Detachment at Left 4th Toe, Mid, Open Approach"
AMP,0Y6W0Z3,"Detachment at Left 4th Toe, Low, Open Approach"
AMP,0Y6X0Z0,"Detachment at Right 5th Toe, Complete, Open Approach"
AMP,0Y6X0Z1,"Detachment at Right 5th Toe, High, Open Approach"
AMP,0Y6X0Z2,"Detachment at Right 5th Toe, Mid, Open Approach"
AMP,0Y6X0Z3,"Detachment at Right 5th Toe, Low, Open Approach"
AMP,0Y6Y0Z0,"Detachment at Left 5th Toe, Complete, Open Approach"
AMP,0Y6Y0Z1,"Detachment at Left 5th Toe, High, Open Approach"
AMP,0Y6Y0Z2,"Detachment at Left 5th Toe, Mid, Open Approach"
AMP,0Y6Y0Z3,"Detachment at Left 5th Toe, Low, Open Approach"
APPY,0D9J00Z,"Drainage of Appendix with Drainage Device, Open Approach"
APPY,0D9J0ZZ,"Drainage of Appendix, Open Approach"
APPY,0D9J40Z,"Drainage of Appendix with Drainage Device, Percutaneous Endoscopic Approach"
APPY,0D9J4ZZ,"Drainage of Appendix, Percutaneous Endoscopic Approach"
APPY,0DQJ0ZZ,"Repair Appendix, Open Approach"
APPY,0DQJ4ZZ,"Repair Appendix, Percutaneous Endoscopic Approach"
APPY,0DTJ0ZZ,"Resection of Appendix, Open Approach"
APPY,0DTJ4ZZ,"Resection of Appendix, Percutaneous Endoscopic Approach"
AVSD,031209D,"Bypass Innominate Artery to Upper Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,031209F,"Bypass Innominate Artery to Lower Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,03120AD,"Bypass Innominate Artery to Upper Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03120AF,"Bypass Innominate Artery to Lower Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03120JD,"Bypass Innominate Artery to Upper Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03120JF,"Bypass Innominate Artery to Lower Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03120KD,"Bypass Innominate Artery to Upper Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03120KF,"Bypass Innominate Artery to Lower Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03120ZD,"Bypass Innominate Artery to Upper Arm Vein, Open Approach"
AVSD,03120ZF,"Bypass Innominate Artery to Lower Arm Vein, Open Approach"
AVSD,0313090,"Bypass Right Subclavian Artery to Right Upper Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0313091,"Bypass Right Subclavian Artery to Left Upper Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0313092,"Bypass Right Subclavian Artery to Bilateral Upper Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0313093,"Bypass Right Subclavian Artery to Right Lower Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0313094,"Bypass Right Subclavian Artery to Left Lower Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0313095,"Bypass Right Subclavian Artery to Bilateral Lower Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0313096,"Bypass Right Subclavian Artery to Right Upper Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,0313097,"Bypass Right Subclavian Artery to Left Upper Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,0313098,"Bypass Right Subclavian Artery to Bilateral Upper Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,0313099,"Bypass Right Subclavian Artery to Right Lower Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,031309B,"Bypass Right Subclavian Artery to Left Lower Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,031309C,"Bypass Right Subclavian Artery to Bilateral Lower Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,031309D,"Bypass Right Subclavian Artery to Upper Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,031309F,"Bypass Right Subclavian Artery to Lower Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,031309J,"Bypass Right Subclavian Artery to Right Extracranial Artery with Autologous Venous Tissue, Open Approach"
AVSD,031309K,"Bypass Right Subclavian Artery to Left Extracranial Artery with Autologous Venous Tissue, Open Approach"
AVSD,03130AD,"Bypass Right Subclavian Artery to Upper Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03130AF,"Bypass Right Subclavian Artery to Lower Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03130JD,"Bypass Right Subclavian Artery to Upper Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03130JF,"Bypass Right Subclavian Artery to Lower Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03130KD,"Bypass Right Subclavian Artery to Upper Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03130KF,"Bypass Right Subclavian Artery to Lower Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03130ZD,"Bypass Right Subclavian Artery to Upper Arm Vein, Open Approach"
AVSD,03130ZF,"Bypass Right Subclavian Artery to Lower Arm Vein, Open Approach"
AVSD,0314090,"Bypass Left Subclavian Artery to Right Upper Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0314091,"Bypass Left Subclavian Artery to Left Upper Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0314092,"Bypass Left Subclavian Artery to Bilateral Upper Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0314093,"Bypass Left Subclavian Artery to Right Lower Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0314094,"Bypass Left Subclavian Artery to Left Lower Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0314095,"Bypass Left Subclavian Artery to Bilateral Lower Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0314096,"Bypass Left Subclavian Artery to Right Upper Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,0314097,"Bypass Left Subclavian Artery to Left Upper Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,0314098,"Bypass Left Subclavian Artery to Bilateral Upper Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,0314099,"Bypass Left Subclavian Artery to Right Lower Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,031409B,"Bypass Left Subclavian Artery to Left Lower Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,031409C,"Bypass Left Subclavian Artery to Bilateral Lower Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,031409D,"Bypass Left Subclavian Artery to Upper Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,031409F,"Bypass Left Subclavian Artery to Lower Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,031409J,"Bypass Left Subclavian Artery to Right Extracranial Artery with Autologous Venous Tissue, Open Approach"
AVSD,031409K,"Bypass Left Subclavian Artery to Left Extracranial Artery with Autologous Venous Tissue, Open Approach"
AVSD,03140AD,"Bypass Left Subclavian Artery to Upper Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03140AF,"Bypass Left Subclavian Artery to Lower Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03140JD,"Bypass Left Subclavian Artery to Upper Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03140JF,"Bypass Left Subclavian Artery to Lower Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03140KD,"Bypass Left Subclavian Artery to Upper Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03140KF,"Bypass Left Subclavian Artery to Lower Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03140ZD,"Bypass Left Subclavian Artery to Upper Arm Vein, Open Approach"
AVSD,03140ZF,"Bypass Left Subclavian Artery to Lower Arm Vein, Open Approach"
AVSD,0315090,"Bypass Right Axillary Artery to Right Upper Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0315091,"Bypass Right Axillary Artery to Left Upper Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0315092,"Bypass Right Axillary Artery to Bilateral Upper Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0315093,"Bypass Right Axillary Artery to Right Lower Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0315094,"Bypass Right Axillary Artery to Left Lower Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0315095,"Bypass Right Axillary Artery to Bilateral Lower Arm Artery with Autologous Venous Tissue, Open Approach"
AVSD,0315096,"Bypass Right Axillary Artery to Right Upper Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,0315097,"Bypass Right Axillary Artery to Left Upper Leg Artery  Autologous Venous Tissue, Open Approach"
AVSD,0315098,"Bypass Right Axillary Artery to Bilateral Upper Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,0315099,"Bypass Right Axillary Artery to Right Lower Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,031509B,"Bypass Right Axillary Artery to Left Lower Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,031509C,"Bypass Right Axillary Artery to Bilateral Lower Leg Artery with Autologous Venous Tissue, Open Approach"
AVSD,031509D,"Bypass Right Axillary Artery to Upper Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,031509F,"Bypass Right Axillary Artery to Lower Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,031509J,"Bypass Right Axillary Artery to Right Extracranial Artery with Autologous Venous Tissue, Open Approach"
AVSD,031509K,"Bypass Right Axillary Artery to Left Extracranial Artery with Autologous Venous Tissue, Open Approach"
AVSD,03150AD,"Bypass Right Axillary Artery to Upper Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03150AF,"Bypass Right Axillary Artery to Lower Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03150JD,"Bypass Right Axillary Artery to Upper Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03150JF,"Bypass Right Axillary Artery to Lower Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03150KD,"Bypass Right Axillary Artery to Upper Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03150KF,"Bypass Right Axillary Artery to Lower Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03150ZD,"Bypass Right Axillary Artery to Upper Arm Vein, Open Approach"
AVSD,03150ZF,"Bypass Right Axillary Artery to Lower Arm Vein, Open Approach"
AVSD,031609D,"Bypass Left Axillary Artery to Upper Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,031609F,"Bypass Left Axillary Artery to Lower Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,03160AD,"Bypass Left Axillary Artery to Upper Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03160AF,"Bypass Left Axillary Artery to Lower Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03160JD,"Bypass Left Axillary Artery to Upper Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03160JF,"Bypass Left Axillary Artery to Lower Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03160KD,"Bypass Left Axillary Artery to Upper Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03160KF,"Bypass Left Axillary Artery to Lower Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03160ZD,"Bypass Left Axillary Artery to Upper Arm Vein, Open Approach"
AVSD,03160ZF,"Bypass Left Axillary Artery to Lower Arm Vein, Open Approach"
AVSD,031709D,"Bypass Right Brachial Artery to Upper Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,031709F,"Bypass Right Brachial Artery to Lower Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,03170AD,"Bypass Right Brachial Artery to Upper Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03170AF,"Bypass Right Brachial Artery to Lower Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03170JD,"Bypass Right Brachial Artery to Upper Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03170JF,"Bypass Right Brachial Artery to Lower Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03170KD,"Bypass Right Brachial Artery to Upper Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03170KF,"Bypass Right Brachial Artery to Lower Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03170ZD,"Bypass Right Brachial Artery to Upper Arm Vein, Open Approach"
AVSD,03170ZF,"Bypass Right Brachial Artery to Lower Arm Vein, Open Approach"
AVSD,031809D,"Bypass Left Brachial Artery to Upper Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,031809F,"Bypass Left Brachial Artery to Lower Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,03180AD,"Bypass Left Brachial Artery to Upper Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03180AF,"Bypass Left Brachial Artery to Lower Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03180JD,"Bypass Left Brachial Artery to Upper Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03180JF,"Bypass Left Brachial Artery to Lower Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03180KD,"Bypass Left Brachial Artery to Upper Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03180KF,"Bypass Left Brachial Artery to Lower Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03180ZD,"Bypass Left Brachial Artery to Upper Arm Vein, Open Approach"
AVSD,03180ZF,"Bypass Left Brachial Artery to Lower Arm Vein, Open Approach"
AVSD,031909F,"Bypass Right Ulnar Artery to Lower Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,03190AF,"Bypass Right Ulnar Artery to Lower Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,03190JF,"Bypass Right Ulnar Artery to Lower Arm Vein with Synthetic Substitute, Open Approach"
AVSD,03190KF,"Bypass Right Ulnar Artery to Lower Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,03190ZF,"Bypass Right Ulnar Artery to Lower Arm Vein, Open Approach"
AVSD,031A09F,"Bypass Left Ulnar Artery to Lower Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,031A0AF,"Bypass Left Ulnar Artery to Lower Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,031A0JF,"Bypass Left Ulnar Artery to Lower Arm Vein with Synthetic Substitute, Open Approach"
AVSD,031A0KF,"Bypass Left Ulnar Artery to Lower Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,031A0ZF,"Bypass Left Ulnar Artery to Lower Arm Vein, Open Approach"
AVSD,031B09F,"Bypass Right Radial Artery to Lower Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,031B0AF,"Bypass Right Radial Artery to Lower Arm Vein with Autologous Arterial Tissue, Open Approach"
AVSD,031B0JF,"Bypass Right Radial Artery to Lower Arm Vein with Synthetic Substitute, Open Approach"
AVSD,031B0KF,"Bypass Right Radial Artery to Lower Arm Vein with Nonautologous Tissue Substitute, Open Approach"
AVSD,031B0ZF,"Bypass Right Radial Artery to Lower Arm Vein, Open Approach"
AVSD,031C09F,"Bypass Left Radial Artery to Lower Arm Vein with Autologous Venous Tissue, Open Approach"
AVSD,031C0AF,"Bypass Left Radial Artery to Lower Arm Vein with Autologous Arterial Tissue, Open Approach"
